channel,date_field,date_source,engine,ev_id,is_first_of_minor,line,minor_series,released_on,schema,tag,v,version
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.3,2021-03-30,releases,3.3-rc7,0.1,3.3
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.3,2021-04-07,releases,3.3-rc8,0.1,3.3
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.3,2021-04-14,releases,3.3-rc9,0.1,3.3
stable,published_at,godotengine/godot,godot,220661a691a4,True,3.x,3.3,2021-04-21,releases,3.3-stable,0.1,3.3
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.3,2021-05-10,releases,3.3.1-rc1,0.1,3.3.1
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.3,2021-05-15,releases,3.3.1-rc2,0.1,3.3.1
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.3,2021-05-18,releases,3.3.1-stable,0.1,3.3.1
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.3,2021-05-24,releases,3.3.2-stable,0.1,3.3.2
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.4,2021-07-13,releases,3.4-beta1,0.1,3.4
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.4,2021-07-27,releases,3.4-beta2,0.1,3.4
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.3,2021-08-04,releases,3.3.3-rc1,0.1,3.3.3
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.4,2021-08-06,releases,3.4-beta3,0.1,3.4
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.3,2021-08-16,releases,3.3.3-rc2,0.1,3.3.3
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.3,2021-08-19,releases,3.3.3-stable,0.1,3.3.3
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.4,2021-08-19,releases,3.4-beta4,0.1,3.4
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.4,2021-09-22,releases,3.4-beta5,0.1,3.4
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.3,2021-09-29,releases,3.3.4-rc1,0.1,3.3.4
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.3,2021-10-01,releases,3.3.4-stable,0.1,3.3.4
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.4,2021-10-06,releases,3.4-beta6,0.1,3.4
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.4,2021-10-19,releases,3.4-rc1,0.1,3.4
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.4,2021-10-27,releases,3.4-rc2,0.1,3.4
