channel,date_field,date_source,engine,ev_id,is_first_of_minor,line,minor_series,released_on,schema,tag,v,version
dev,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.3,2024-03-15,releases,4.3-dev5,0.1,4.3
rc,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.1,2024-04-09,releases,4.1.4-rc3,0.1,4.1.4
rc,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.2,2024-04-09,releases,4.2.2-rc3,0.1,4.2.2
stable,published_at,godotengine/godot,godot,220661a691a4,False,4.x,4.1,2024-04-17,releases,4.1.4-stable,0.1,4.1.4
stable,published_at,godotengine/godot,godot,220661a691a4,False,4.x,4.2,2024-04-17,releases,4.2.2-stable,0.1,4.2.2
dev,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.3,2024-05-01,releases,4.3-dev6,0.1,4.3
beta,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.6,2024-05-07,releases,3.6-beta5,0.1,3.6
beta,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.3,2024-05-31,releases,4.3-beta1,0.1,4.3
beta,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.3,2024-06-20,releases,4.3-beta2,0.1,4.3
rc,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.6,2024-07-04,releases,3.6-rc1,0.1,3.6
beta,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.3,2024-07-09,releases,4.3-beta3,0.1,4.3
rc,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.3,2024-07-25,releases,4.3-rc1,0.1,4.3
rc,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.3,2024-08-01,releases,4.3-rc2,0.1,4.3
rc,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.3,2024-08-08,releases,4.3-rc3,0.1,4.3
stable,published_at,godotengine/godot,godot,220661a691a4,True,4.x,4.3,2024-08-15,releases,4.3-stable,0.1,4.3
dev,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.4,2024-08-26,releases,4.4-dev1,0.1,4.4
